CTFT id;Family;Species;Specific gravity;Country;Sub-continent;Herbarium occurrence
133;LAURACEAE;Endiandra palmerstonii C.White & W.D.Francis;;Australie;Oceanie;0
134;MIMOSACEAE;Acacia melanoxylon R.Br.;;Australie;Oceanie;0
135;LAURACEAE;Endlicheria sericea Nees;0.5;Antilles françaises;Amerique Centrale et Antilles;0
136;MIMOSACEAE;Pentaclethra eetveldeana De Wild. & T.Durand;0.68;Gabon;Afrique;0
137;LAURACEAE;Beilschmiedia sp;0.68;Antilles françaises;Amerique Centrale et Antilles;0
138;HERNANDIACEAE;Hazomalania voyronii (Jum.) Capuron;0.43;Madagascar;Ocean Indien;0
139;LAURACEAE;Litsea baviensis Lecomte;0.54;Vietnam;Asie continentale;0
140;LAURACEAE;Litsea baviensis Lecomte;0.57;Vietnam;Asie continentale;0
141;LAURACEAE;Ocotea obtusata (Nees) Kosterm.;0.45;Reunion;Ocean Indien;0
142;LAURACEAE;Litsea monopetala (Roxb.) Persoon;0.44;Vietnam;Asie continentale;0
143;PHYLLANTHACEAE;Bridelia sp;0.49;Vietnam;Asie continentale;0
144;LAURACEAE;Litsea vang Lecomte;0.75;Vietnam;Asie continentale;0
145;LAURACEAE;Litsea sp;0.84;Vietnam;Asie continentale;0
146;LAURACEAE;Litsea sp;0.84;Vietnam;Asie continentale;0
147;LAURACEAE;Litsea vang Lecomte;0.57;Cambodge;Asie continentale;0
148;LAURACEAE;Litsea sp;0.4;Cambodge;Asie continentale;0
149;LAURACEAE;Litsea sp;0.49;Vietnam;Asie continentale;0
150;LAURACEAE;Litsea sp;0.54;Vietnam;Asie continentale;0
151;LAURACEAE;Litsea sp;0.54;Vietnam;Asie continentale;0
152;LAURACEAE;Litsea sp;0.61;Vietnam;Asie continentale;0
153;LAURACEAE;Litsea sp;0.37;Vietnam;Asie continentale;0
154;LAURACEAE;Litsea sp;0.4;Vietnam;Asie continentale;0
155;LAURACEAE;Litsea sp;0.63;Vietnam;Asie continentale;0
156;LAURACEAE;Persea odoratissima (Nees) Kosterm.;0.45;Vietnam;Asie continentale;0
157;LAURACEAE;Persea odoratissima (Nees) Kosterm.;0.51;Vietnam;Asie continentale;0
158;LAURACEAE;Cinnadenia paniculata (Hook.f.) Kosterm.;0.68;Vietnam;Asie continentale;0
159;LAURACEAE;Machilus tonkinensis A.Chev.;0.5;Vietnam;Asie continentale;0
160;LAURACEAE;Machilus trijuga;0.56;Vietnam;Asie continentale;0
161;LAURACEAE;Litsea rotundifolia Hemsl. var. oblongifolia C.K.Allen;0.67;Vietnam;Asie continentale;0
162;LAURACEAE;Persea sp;0.49;Vietnam;Asie continentale;0
163;LAURACEAE;Persea sp;0.41;Vietnam;Asie continentale;0
164;LAURACEAE;Persea sp;0.53;Vietnam;Asie continentale;0
165;LAURACEAE;Ocotea faucherei Kosterm.;0.57;Madagascar;Ocean Indien;1
166;LAURACEAE;Ocotea racemosa (Danguy) Kosterm.;;Madagascar;Ocean Indien;1
167;LAURACEAE;Ocotea cymosa (Nees) Palacky;0.59;Madagascar;Ocean Indien;1
168;LAURACEAE;Ocotea thouvenotii Kosterm.;0.65;Madagascar;Ocean Indien;0
169;LAURACEAE;Ocotea thouvenotii Kosterm.;0.58;Madagascar;Ocean Indien;1
170;LAURACEAE;Ocotea sp;;Madagascar;Ocean Indien;0
171;LAURACEAE;Ocotea racemosa (Danguy) Kosterm.;0.64;Madagascar;Ocean Indien;1
172;LAURACEAE;Nectandra puberula (Schott) Nees;;Bresil n.p.;Amerique du Sud;0
173;LAURACEAE;Nectandra hihua (Ruiz & Pav.) Rohwer;0.54;Antilles françaises;Amerique Centrale et Antilles;0
174;LAURACEAE;Nectandra coriacea (Sw.) Griseb.;0.48;Antilles françaises;Amerique Centrale et Antilles;0
